ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
688169.SH,20250813,181.81,184.38,178.1,179.34,181.38,-2.04,-1.1247,38348.24,693997.238
688169.SH,20250812,178.0,187.78,177.08,181.38,178.1,3.28,1.8417,48971.63,901510.77
688169.SH,20250811,178.5,179.9,175.59,178.1,177.02,1.08,0.6101,21166.02,376700.113
688169.SH,20250808,178.28,179.24,176.64,177.02,177.26,-0.24,-0.1354,20129.26,358080.859
688169.SH,20250807,179.0,179.97,176.17,177.26,178.46,-1.2,-0.6724,24620.26,437520.852
688169.SH,20250806,179.35,180.6,177.11,178.46,179.1,-0.64,-0.3573,26395.42,470840.043
688169.SH,20250805,178.35,185.0,178.27,179.1,178.27,0.83,0.4656,37357.23,675325.941
688169.SH,20250804,171.13,180.0,170.72,178.27,172.4,5.87,3.4049,40384.66,716968.078
688169.SH,20250801,173.8,176.97,170.52,172.4,173.36,-0.96,-0.5538,26597.47,460056.716
688169.SH,20250731,175.96,179.79,172.6,173.36,176.8,-3.44,-1.9457,37654.2,661022.669
688169.SH,20250730,177.53,179.6,175.7,176.8,179.87,-3.07,-1.7068,32293.0,573518.837
688169.SH,20250729,168.75,181.88,168.1,179.87,168.92,10.95,6.4824,66997.9,1180856.324
688169.SH,20250728,166.37,172.5,166.01,168.92,166.0,2.92,1.759,50135.79,852872.092
688169.SH,20250725,160.9,167.49,160.66,166.0,161.3,4.7,2.9138,45634.48,748966.653
688169.SH,20250724,162.3,162.65,159.78,161.3,162.21,-0.91,-0.561,27605.92,443552.54
688169.SH,20250723,159.82,164.87,159.81,162.21,159.82,2.39,1.4954,35845.13,584354.554
688169.SH,20250722,160.62,160.97,158.42,159.82,160.26,-0.44,-0.2746,26149.47,417046.058
688169.SH,20250721,162.8,163.5,159.12,160.26,163.08,-2.82,-1.7292,26948.09,431678.633
688169.SH,20250718,167.49,168.88,163.0,163.08,166.8,-3.72,-2.2302,28163.36,462829.835
688169.SH,20250717,161.41,168.77,161.01,166.8,161.22,5.58,3.4611,45701.18,760435.227
688169.SH,20250716,163.69,165.8,160.7,161.22,163.7,-2.48,-1.515,31346.35,508996.262
688169.SH,20250715,162.15,164.5,161.11,163.7,162.89,0.81,0.4973,49351.06,806971.549
688169.SH,20250714,151.28,166.47,151.28,162.89,148.61,14.28,9.609,90412.16,1447437.594
688169.SH,20250711,148.86,151.36,148.02,148.61,148.78,-0.17,-0.1143,30780.1,460573.059
688169.SH,20250710,150.0,151.02,148.2,148.78,150.0,-1.22,-0.8133,25070.28,373649.421
688169.SH,20250709,155.15,155.15,149.48,150.0,153.95,-3.95,-2.5658,36492.15,551370.236
688169.SH,20250708,153.6,155.39,153.1,153.95,153.6,0.35,0.2279,16806.35,258883.475
688169.SH,20250707,156.0,156.18,152.12,153.6,156.18,-2.58,-1.6519,15127.48,232657.313
688169.SH,20250704,157.96,158.4,154.5,156.18,158.44,-2.26,-1.4264,21331.08,334152.271
